primary_photo/href,last_update_date,source/plan_id,source/agents/0/office_name,source/agents/1/office_name,source/spec_id,source/type,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,tags/7,tags/8,permalink,status,list_date,open_houses,description/year_built,description/baths_3qtr,description/sold_date,description/sold_price,description/baths_full,description/name,description/baths_half,description/lot_sqft,description/sqft,description/baths,description/sub_type,description/baths_1qtr,description/garage,description/stories,description/beds,description/type,branding/0/name,branding/0/photo,branding/0/type,list_price,lead_attributes/show_contact_an_agent,property_id,photos/0/tags/0/label,photos/0/tags/0/probability,photos/0/tags/1/label,photos/0/tags/1/probability,photos/0/tags/2/label,photos/0/tags/2/probability,photos/0/href,flags/is_new_construction,flags/is_for_rent,flags/is_subdivision,flags/is_contingent,flags/is_price_reduced,flags/is_pending,flags/is_foreclosure,flags/is_plan,flags/is_coming_soon,flags/is_new_listing,community,products/brand_name,virtual_tours,other_listings/rdc/0/listing_id,other_listings/rdc/0/listing_key,other_listings/rdc/0/status,other_listings/rdc/0/primary,other_listings/rdc/1/listing_id,other_listings/rdc/1/listing_key,other_listings/rdc/1/status,other_listings/rdc/1/primary,listing_id,price_reduced_amount,location/address/postal_code,location/address/state,location/address/coordinate/lon,location/address/coordinate/lat,location/address/city,location/address/state_code,location/address/line,location/street_view_url,location/county/fips_code,location/county/name,matterport,tags/9,virtual_tours/0/type,virtual_tours/0/href,location/address/coordinate,location/county,other_listings/rdc/2/listing_id,other_listings/rdc/2/listing_key,other_listings/rdc/2/status,other_listings/rdc/2/primary,other_listings/rdc/3/listing_id,other_listings/rdc/3/listing_key,other_listings/rdc/3/status,other_listings/rdc/3/primary,other_listings/rdc/4/listing_id,other_listings/rdc/4/listing_key,other_listings/rdc/4/status,other_listings/rdc/4/primary,other_listings/rdc/5/listing_id,other_listings/rdc/5/listing_key,other_listings/rdc/5/status,other_listings/rdc/5/primary,other_listings/rdc/6/listing_id,other_listings/rdc/6/listing_key,other_listings/rdc/6/status,other_listings/rdc/6/primary,other_listings/rdc/7/listing_id,other_listings/rdc/7/listing_key,other_listings/rdc/7/status,other_listings/rdc/7/primary,tags/10,tags/11,other_listings/rdc/8/listing_id,other_listings/rdc/8/listing_key,other_listings/rdc/8/status,other_listings/rdc/8/primary,other_listings/rdc/9/listing_id,other_listings/rdc/9/listing_key,other_listings/rdc/9/status,other_listings/rdc/9/primary,tags/12,tags/13,tags/14,tags/15,tags/16,tags/17,tags/18,tags/19,tags/20,tags/21,tags/22,tags/23,tags/24,tags/25,photos/0/tags,tags/26,primary_photo,photos,tags/27,tags/28,tags/29,tags/30,tags/31,tags/32
https://ap.rdcpix.com/23cc467793d4bfedb6feccb553c80e05l-m2896318084s-w1024_h768.jpg,2021-06-25T18:02:00Z,,"EXP Realty, LLC",,,mls,central_air,community_outdoor_space,den_or_office,dining_room,fireplace,forced_air,hardwood_floors,basement,two_or_more_stories,410-Lighthouse-Rd_Wilmington_DE_19809_M64329-96219,sold,2021-05-14T21:27:02Z,,1935,,2021-06-25,275000,2,,,9583,2025,2,,,,2,4,single_family,Exp Realty,,Office,269000,true,6432996219,house_view,0.9958429,porch_yard,0.0030663458,garage,0.00065245683,https://ap.rdcpix.com/23cc467793d4bfedb6feccb553c80e05l-m2896318084s-w1024_h768.jpg,,,,,,,,,,false,,basic_opt_in,,2929297978,,sold,,548283974,,off_market,,2929297978,,19809,Delaware,-75.50151,39.762833,Wilmington,DE,410 Lighthouse Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=410%20Lighthouse%20Rd%2C%20Wilmington%2C%20DE%2019809&size=640x480&source=outdoor&signature=P2i5TCBxB0eJ-Ebmk2zWzHPTIqk=,10003,New Castle,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ap.rdcpix.com/c707363615d68117a8636f80e25b7e06l-m2996961608s-w1024_h768.jpg,2021-06-25T18:22:21Z,,,,,mls,central_air,community_outdoor_space,recreation_facilities,single_story,master_bathroom,master_bedroom,open_floor_plan,floor_plan,elevator,2016-UNIT-Naamans-Rd-Unit-B10_Wilmington_DE_19810_M96884-83553,sold,2021-03-28T21:48:22Z,,1968,,2021-06-25,155000,2,,,,,2,condo,,,1,2,condos,Re/Max Associates-Wilmington,,Office,157900,true,9688483553,unknown,0.7037336,road_view,0.23805082,garage,0.023925498,https://ap.rdcpix.com/c707363615d68117a8636f80e25b7e06l-m2996961608s-w1024_h768.jpg,,,,,false,,,,,false,,basic_opt_in,,2927472382,,sold,,,,,,2927472382,2000,19810,Delaware,,,Wilmington,DE,2016-UNIT Naamans Rd Unit B10,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2016-UNIT%20Naamans%20Rd%20Unit%20B10%2C%20Wilmington%2C%20DE%2019810&size=640x480&source=outdoor&signature=kag8WRMlgQwUEMzFPOCWpf1udTk=,,,false,shopping,,https://www.corelistingmachine.com/home2/CD4DMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ap.rdcpix.com/ba0f521b142df98f24d612e52363cbc5l-m269895230s-w1024_h768.jpg,2021-06-25T14:30:15Z,,,,,mls,corner_lot,recreation_facilities,basement,rental_property,,,,,,2025-Delaware-Ave_Wilmington_DE_19806_M51133-06844,sold,2021-05-11T05:28:33Z,,1920,,2021-06-25,451000,,,,3920,2725,0,,,,,0,multi_family,BHHS Fox & Roach Greenville Home Marketing Center,,Office,425000,true,5113306844,yard,0.404736,road_view,0.25145984,house_view,0.246287,https://ap.rdcpix.com/ba0f521b142df98f24d612e52363cbc5l-m269895230s-w1024_h768.jpg,,,,,,,,,,false,,essentials,,2929144532,,sold,,2916804383,,off_market,,2929144532,,19806,Delaware,-75.56577,39.761425,Wilmington,DE,2025 Delaware Ave,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2025%20Delaware%20Ave%2C%20Wilmington%2C%20DE%2019806&size=640x480&source=outdoor&signature=bGbSwLKaJM1bIgFPggPruGeKM50=,10003,New Castle,false,,,https://2025DELAWAREAVE.go2frr.com/index.html,,,619463358,,off_market,,522552470,,sold,,547201394,,off_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ap.rdcpix.com/e826dda3d01f6475a845db79ddf49b92l-w2152691618s-w1024_h768.jpg,2021-06-26T00:04:32Z,,Coldwell Banker Realty,,,mls,central_air,community_outdoor_space,forced_air,hardwood_floors,basement,two_or_more_stories,garage_1_or_more,updated_kitchen,corner_lot,1923-Floral-Dr_Wilmington_DE_19810_M61602-95425,sold,2021-04-09T11:53:51Z,,1959,,2021-06-25,341000,2,,,10890,2186,2,,,1,2,3,single_family,Coldwell Banker Preferred,,Office,335000,true,6160295425,yard,0.9989128,porch_yard,0.001001588,garage,0.0000444414,https://ap.rdcpix.com/e826dda3d01f6475a845db79ddf49b92l-w2152691618s-w1024_h768.jpg,,,,,false,,,,,false,,essentials,,2927946914,,sold,,635669494,,off_market,,2927946914,29999,19810,Delaware,-75.50508,39.809425,Wilmington,DE,1923 Floral Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1923%20Floral%20Dr%2C%20Wilmington%2C%20DE%2019810&size=640x480&source=outdoor&signature=LUuMooguFEGftC3-vwYjSjUR5c4=,10003,New Castle,false,screen_porch,,,,,639238318,,sold,,634113066,,off_market,,631702594,,off_market,,625365526,,off_market,,548585226,,sold,,548533058,,off_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ap.rdcpix.com/f424d73b1a395302dace4b9de9c9828bl-m934400551s-w1024_h768.jpg,2021-06-26T00:07:09Z,,,,,mls,central_air,community_outdoor_space,corner_lot,dining_room,family_room,forced_air,laundry_room,basement,two_or_more_stories,2214-Carlton-Ln_Wilmington_DE_19810_M63585-24346,sold,2021-04-16T04:20:47Z,,1958,,2021-06-25,385000,2,,1,8712,2553,3,,,1,2,4,single_family,Vanguard Realty Alliance LLC,,Office,393900,true,6358524346,garage,0.37172613,porch_yard,0.36527073,yard,0.2595839,https://ap.rdcpix.com/f424d73b1a395302dace4b9de9c9828bl-m934400551s-w1024_h768.jpg,,,,,false,,,,,false,,basic_opt_in,,2928202064,,sold,,546763778,,sold,,2928202064,1000,19810,Delaware,-75.499344,39.81215,Wilmington,DE,2214 Carlton Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2214%20Carlton%20Ln%2C%20Wilmington%2C%20DE%2019810&size=640x480&source=outdoor&signature=wvVSr0l4QKrDxjt6Fk5BTc_xqmo=,10003,New Castle,false,garage_1_or_more,,,,,546760870,,off_market,,,,,,,,,,,,,,,,,,,,,,granite_kitchen,groundscare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ap.rdcpix.com/ba14005f0528ceae9faa4df0112c2ec2l-m1215409887s-w1024_h768.jpg,2021-06-26T00:06:34Z,,,,,mls,central_air,community_outdoor_space,forced_air,basement,single_story,garage_1_or_more,garage_2_or_more,big_lot,farm,2107-Dunhill-Dr_Wilmington_DE_19810_M50826-38900,sold,2021-05-20T21:33:56Z,,1962,,2021-06-25,475000,2,,1,26572,2225,3,,,2,1,4,single_family,Compass,,Office,470000,true,5082638900,yard,0.8041971,porch_yard,0.17070903,garage,0.017904405,https://ap.rdcpix.com/ba14005f0528ceae9faa4df0112c2ec2l-m1215409887s-w1024_h768.jpg,,,,,,,,,,false,,basic_opt_in,,2929537056,,sold,,,,,,2929537056,,19810,Delaware,-75.50856,39.819237,Wilmington,DE,2107 Dunhill Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2107%20Dunhill%20Dr%2C%20Wilmington%2C%20DE%2019810&size=640x480&source=outdoor&signature=r_DZ82OTVipcbifssyNcPALwpRs=,10003,New Castle,false,ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ap.rdcpix.com/0a648c2beeeb445e84d55222ce7c7f67l-m1338094515s-w1024_h768.jpg,2021-06-25T15:43:39Z,,,,,mls,central_air,community_outdoor_space,dining_room,dishwasher,family_room,basement,two_or_more_stories,granite_kitchen,updated_kitchen,728-S-Lincoln-St_Wilmington_DE_19805_M64502-59797,sold,2021-04-16T15:56:10Z,,1947,,2021-06-25,236000,1,,1,2614,2295,2,,,,2,3,single_family,BHHS Fox & Roach Greenville Home Marketing Center,,Office,225000,true,6450259797,porch_yard,0.58569413,yard,0.38177067,road_view,0.018175572,https://ap.rdcpix.com/0a648c2beeeb445e84d55222ce7c7f67l-m1338094515s-w1024_h768.jpg,,,,,,,,,,false,,essentials,,2928220626,,sold,,619045614,,off_market,,2928220626,,19805,Delaware,-75.57667,39.7412,Wilmington,DE,728 S Lincoln St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=728%20S%20Lincoln%20St%2C%20Wilmington%2C%20DE%2019805&size=640x480&source=outdoor&signature=joh5EcWdcBmNbZEEsNzILmG27LI=,10003,New Castle,false,fenced_yard,,https://728-S-LINCOLN-ST.go2frr.com/index.html,,,551747586,,off_market,,,,,,,,,,,,,,,,,,,,,,big_lot,new_roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ap.rdcpix.com/2d538b663eca3b4fe601a13f7cabcb29l-m3962674440s-w1024_h768.jpg,2021-06-26T00:07:20Z,,,,,mls,central_air,forced_air,swimming_pool,basement,two_or_more_stories,garage_1_or_more,garage_2_or_more,garage_3_or_more,,111-Odyssey-Dr_Wilmington_DE_19808_M62752-31113,sold,2021-06-16T17:24:30Z,,2019,,2021-06-25,988000,3,,1,14810,3650,4,,,3,2,4,single_family,RE/MAX Associates-Hockessin,,Office,988000,true,6275231113,porch_yard,0.9870242,yard,0.008963902,porch,0.0034595276,https://ap.rdcpix.com/2d538b663eca3b4fe601a13f7cabcb29l-m3962674440s-w1024_h768.jpg,,,,,,,,,,true,,basic_opt_in,,2930578998,,sold,,2317071031,,sold,,2930578998,,19808,Delaware,-75.643715,39.7552,Wilmington,DE,111 Odyssey Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=111%20Odyssey%20Dr%2C%20Wilmington%2C%20DE%2019808&size=640x480&source=outdoor&signature=5HBvqNesNwvzxmrvrIgcfZL1-Mw=,10003,New Castle,false,,,,,,640717426,,off_market,,644145710,,off_market,,634111658,,off_market,,629843138,,off_market,,634111142,,off_market,,616214294,,off_market,,,,591101230,,off_market,,566846182,,off_market,,,,,,,,,,,,,,,,,,,,,,,,,
https://ap.rdcpix.com/cb75e8201e893cae1810ec96b621085el-m4116627257s-w1024_h768.jpg,2021-06-26T00:07:25Z,,,,,mls,central_air,community_outdoor_space,cul_de_sac,den_or_office,family_room,fireplace,forced_air,hardwood_floors,recreation_facilities,7-Alders-Ln_Greenville_DE_19807_M69712-28227,sold,2021-05-06T19:26:53Z,,1993,,2021-06-25,925000,4,,1,19602,4229,5,,,3,3,5,single_family,Compass,,Office,925000,true,6971228227,yard,0.999331,porch_yard,0.00049715146,house_view,0.00016350145,https://ap.rdcpix.com/cb75e8201e893cae1810ec96b621085el-m4116627257s-w1024_h768.jpg,,,,,,,,,,false,,basic_opt_in,,2928994010,,sold,,547153346,,sold,,2928994010,,19807,Delaware,-75.581085,39.76185,Wilmington,DE,7 Alders Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7%20Alders%20Ln%2C%20Wilmington%2C%20DE%2019807&size=640x480&source=outdoor&signature=SYvpqyrwZZpf0IijY6hy6xwpYKc=,10003,New Castle,false,view,,https://vimeo.com/545960015,,,,,,,,,,,,,,,,,,,,,,,,,,,basement,two_or_more_stories,,,,,,,,,garage_1_or_more,garage_2_or_more,garage_3_or_more,modern_kitchen,open_kitchen,open_floor_plan,floor_plan,rental_property,clubhouse,shopping,,,,,,,,,,,,,,
https://ap.rdcpix.com/86f07866879e5026fc823099ddaf52bcl-m1738325019s-w1024_h768.jpg,2021-06-25T15:51:47Z,,,,,mls,community_outdoor_space,dining_room,dishwasher,fireplace,hardwood_floors,washer_dryer,basement,two_or_more_stories,garage_1_or_more,103-Sunset-Dr_Wilmington_DE_19809_M58945-03351,sold,2021-05-15T10:09:50Z,,1951,,2021-06-25,310000,1,,1,13068,1625,2,,,1,2,3,single_family,Re/Max Associates-Wilmington,,Office,315000,true,5894503351,yard,0.7226171,porch_yard,0.2749389,garage,0.0022588354,https://ap.rdcpix.com/86f07866879e5026fc823099ddaf52bcl-m1738325019s-w1024_h768.jpg,,,,,,,,,,false,,basic_opt_in,,2929340162,,sold,,,,,,2929340162,,19809,Delaware,-75.48451,39.77972,Wilmington,DE,103 Sunset Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=103%20Sunset%20Dr%2C%20Wilmington%2C%20DE%2019809&size=640x480&source=outdoor&signature=040mqT94qW28wP6vssObswZi9eY=,10003,New Castle,false,fenced_yard,,https://www.corelistingmachine.com/home2/QBEADG,,,,,,,,,,,,,,,,,,,,,,,,,,,park,shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
